"ID","CHAPTER_ID","DIFFICULTY","QUESTION","TEXT_REFERENCE"
"93","1","1","According to Roman legend, in what year was Rome founded?","#introduction-to-the-regal-period"
"94","1","1","Who were the legendary twin founders of Rome?","#the-foundation-myth-romulus-and-remus"
"95","1","1","According to the legend, who was the mother of Romulus and Remus?","#the-foundation-myth-romulus-and-remus"
"96","1","1","In the legend, what animal nursed the infant twins Romulus and Remus?","#the-foundation-myth-romulus-and-remus"
"97","1","1","How many kings ruled Rome during the Regal Period?","#the-seven-kings-of-rome"
"98","1","1","In what year did the Roman Kingdom end and the Republic begin?","#the-end-of-the-kingdom-and-transition-to-the-republic"
"99","1","1","According to tradition, what event led to the expulsion of Tarquinius Superbus?","#7-tarquinius-superbus-534-509-bce"
"100","1","1","Which legendary figure led the revolt against Tarquinius Superbus?","#the-end-of-the-kingdom-and-transition-to-the-republic"
"101","1","1","Which civilization significantly influenced Rome during the Kingdom period?","#etruscan-influence"
"102","1","1","From which region of Italy did the Etruscans come?","#etruscan-influence"
"103","1","1","Which social class held the most political power in Early Rome?","#patricians-patres-familias"
"104","1","1","What was the primary role of the Roman Senate?","#the-senate"
"105","1","1","Which assembly was organized by family groups called curiae?","#assemblies-of-the-people"
"106","1","1","What was the role of the paterfamilias in Early Rome?","#patricians-patres-familias"
"107","1","1","What was the primary economic basis of Early Rome?","#economic-basis"
"108","1","1","What was the main purpose of the patron-client relationship?","#plebeians"
"109","1","1","Which Vestal Virgin's primary duty was especially important?","#religious-practice"
"110","1","1","What was the primary role of the Pontifex Maximus?","#religious-authority"
"111","1","1","Which of these was NOT a major Roman god during the Kingdom?","#the-roman-pantheon"
"112","1","1","What was the Comitia Centuriata primarily used for?","#assemblies-of-the-people"
"113","1","1","Which king is credited with establishing religious practices and the calendar?","#2-numa-pompilius-715-673-bce"
"114","1","1","Which king is associated with the combat of the Horatii and Curiatii?","#3-tullus-hostilius-673-642-bce"
"115","1","1","What did King Tarquinius Priscus introduce from Etruscan culture?","#5-tarquinius-priscus-616-579-bce"
"116","1","1","Which structures did Tarquinius Priscus begin to construct?","#5-tarquinius-priscus-616-579-bce"
"117","1","1","Which king reorganized Rome's military based on wealth and property?","#6-servius-tullius-579-534-bce"
"118","1","1","What was used to observe the divine will in Roman religion?","#religious-practice"
"119","1","1","What was the primary purpose of the Cloaca Maxima?","#infrastructure-and-urban-development"
"120","1","1","What was divination through examining animal organs called?","#religious-practice"
"121","1","1","Which king is legendary for the rape of Lucretia incident?","#7-tarquinius-superbus-534-509-bce"
"122","1","1","Which king established the Servian system of centuries?","#6-servius-tullius-579-534-bce"
"123","1","2","How did Servius Tullius's reforms differ most significantly from earlier kings?","#6-servius-tullius-579-534-bce"
"124","1","2","What can we infer about Etruscan influence on Rome from the later kings' practices?","#etruscan-influence"
"125","1","2","Why was Servius Tullius's wealth-based military system revolutionary?","#6-servius-tullius-579-534-bce"
"126","1","2","What does the shift from Comitia Curiata to Comitia Centuriata represent?","#assemblies-of-the-people"
"127","1","2","What does the Lucretia legend reveal about late Kingdom tensions?","#7-tarquinius-superbus-534-509-bce"
"128","1","2","Why would Tarquinius Priscus build the Temple of Jupiter?","#5-tarquinius-priscus-616-579-bce"
"129","1","2","How did patron-client relationships provide social stability in Rome?","#plebeians"
"130","1","2","What practical benefit did the Cloaca Maxima provide Rome?","#infrastructure-and-urban-development"
"131","1","2","Why were religious and political authority linked in Rome?","#religious-authority"
"132","1","2","What does the progression from Numa's religious emphasis to Tarquinius Priscus's building projects suggest about Roman priorities?","#religious-practice"
"133","1","2","How do scholars reconcile the Romulus and Remus myth with archaeology?","#historical-reality-vs-legend"
"134","1","2","What challenge faces historians writing about Early Rome centuries later?","#literary-sources"
"135","1","2","What does Palatine Hill archaeology reveal about Rome's founding?","#archaeological-evidence"
"136","1","2","Which approach best helps understand Early Rome despite source problems?","#literary-sources"
"137","1","2","What does the patrician-plebeian divide tell us about Rome?","#patricians-patres-familias"
"138","1","2","How do scholars distinguish legend from probable history in Rome?","#historical-reality-vs-legend"
"139","1","2","What does Rome's frequent religious practice suggest about society?","#religious-authority"
"140","1","2","What evidence suggests Rome adopted Etruscan practices through cultural contact rather than military conquest?","#etruscan-influence"
"141","1","2","What does Rome's complex institutions suggest about development?","#assemblies-of-the-people"
"142","1","2","How should scholars evaluate whether the Lucretia story reflects actual historical events?","#7-tarquinius-superbus-534-509-bce"
"143","1","3","What does the Lucretia narrative suggest about Rome's political transition?","#7-tarquinius-superbus-534-509-bce"
"144","1","3","Which of the following did Servius Tullius introduce through his constitutional reforms? (Multiple answers)","#6-servius-tullius-579-534-bce"
"145","1","3","How does the Servian Constitution represent a pivotal social moment?","#6-servius-tullius-579-534-bce"
"146","1","3","Which factors contributed to Rome's cultural synthesis? (Multiple answers)","#culture-and-religion"
"147","1","3","How did patron-client systems both reinforce and aid society?","#plebeians"
"148","1","3","What major shifts do the Comitia changes reveal? (Multiple answers)","#servius-tullius-and-the-servian-reforms"
"149","1","3","What interconnected changes marked Rome's transition to kingdom?","#religious-authority"
"150","1","3","How were Tarquinius Priscus's building projects strategic for Rome? (Multiple answers)","#5-tarquinius-priscus-616-579-bce"
"151","1","3","What does extensive legendary material suggest about sources?","#literary-sources"
"152","1","3","Which institutional changes established Republican foundations? (Multiple answers)","#the-end-of-the-kingdom-and-transition-to-the-republic"
"153","2","1","In what year was the Roman monarchy abolished and the Republic established?",
"154","2","1","How many consuls governed the Roman Republic at any given time?",
"155","2","1","What was the primary reason for creating two consuls instead of one?",
"156","2","1","What is the term for a consul's right to block the decisions of his colleague?",
"157","2","1","After their one-year term as consul, what could happen to a consul who abused his power?",
"158","2","1","Which assembly was responsible for electing consuls in the early Republic?",
"159","2","1","What was the primary role of the Roman Senate under the Republic?",
"160","2","1","Which of the following was NOT a magistracy below the consulship in the early Republic?",
"161","2","1","What Latin term describes the unwritten customs and precedents that held the force of law in Rome?",
"162","2","1","What fundamental principle did the Republic establish that was NOT true under the kings?",
"163","2","1","Who were the patricians in the early Roman Republic?",
"164","2","1","Which group made up the majority of Rome's population in the early Republic?",
"165","2","1","What was the primary political grievance of plebeians in the early Republic?",
"166","2","1","In what year did plebeians stage their first major secession (refusal to serve in the army)?",
"167","2","1","What new office was created in 494 BCE to protect plebeian interests?",
"168","2","1","What special power did tribunes possess that no other magistrate had?",
"169","2","1","What does the term 'sacrosanctus' mean when applied to tribunes?",
"170","2","1","Why was the ability to refuse military service such a powerful plebeian tactic?",
"171","2","1","Which of the following was NOT one of the early plebeian demands?",
"172","2","1","What economic problem particularly threatened plebeian freedom in the early Republic?",
"173","2","1","What was the fundamental problem with Roman law before the Twelve Tables were created?",
"174","2","1","In what year were the Twelve Tables inscribed and displayed in the Forum?",
"175","2","1","What does 'Lex Duodecim Tabularum' literally mean in Latin?",
"176","2","1","Who were the decemvirs appointed to create Rome's written laws?",
"177","2","1","Which legal code did the decemvirs reportedly study before drafting the Twelve Tables?",
"178","2","1","Why was the creation of written law a significant plebeian victory?",
"179","2","1","Which of the following was NOT directly addressed by the Twelve Tables?",
"180","2","1","Which aspect of the Twelve Tables actually reinforced existing patrician power?",
"181","2","1","How do modern historians know what content the Twelve Tables actually contained?",
"182","2","1","What was the most important long-term impact of making law written and public?",
"183","2","2","How did the Roman system of two consuls with mutual veto power prevent tyranny?",
"184","2","2","What was the relationship between tribunes and traditional magistrates? (SELECT ALL THAT APPLY)",
"185","2","2","Why was the one-year term limit on the consulship a crucial check on power?",
"186","2","2","How did the organization of the Comitia Centuriata serve as a check on pure democracy? (SELECT ALL THAT APPLY)",
"187","2","2","What does 'mixed constitution' mean in the context of the early Roman Republic?",
"188","2","2","How did the requirement that magistrates operate within written law serve as a check?",
"189","2","2","Why could the threat of plebeian military secession force actual political change?",
"190","2","2","What was unusual about the tribune office compared to traditional magistracies?",
"191","2","2","How did the hierarchy of magistracies serve as a check on concentrated power? (SELECT ALL THAT APPLY)",
"192","2","2","Why did Roman leaders accept the risk of deadlock between two consuls?",
"193","2","2","How did the problem of debt slavery particularly affect plebeian farmers?",
"194","2","2","Why was patrician monopoly over conquered land a source of plebeian grievance? (SELECT ALL THAT APPLY)",
"195","2","2","Why did patrician magistrates lack incentive to protect plebeians from creditors?",
"196","2","2","What was the strategic advantage of plebeian military secession as a tactic? (SELECT ALL THAT APPLY)",
"197","2","2","Why did the creation of the tribune office initially satisfy some plebeian demands? (SELECT ALL THAT APPLY)",
"198","2","2","How did the Twelve Tables satisfy AND disappoint plebeian demands simultaneously?",
"199","2","2","Why did the patrician strategy of making limited concessions ultimately fail? (SELECT ALL THAT APPLY)",
"200","2","2","What is the significance of the phrase 'the Conflict of the Orders'? (SELECT ALL THAT APPLY)",
"201","2","2","How did Rome's constant external warfare shape the plebeian rights movement? (SELECT ALL THAT APPLY)",
"202","2","2","What does it reveal that the Twelve Tables actually CODIFIED debt slavery as legal? (SELECT ALL THAT APPLY)",
"203","2","3","Which factors made early Republic sources more reliable than Kingdom period sources? (SELECT ALL THAT APPLY)",
"204","2","3","What does the absence of explicit patrician definitions in ancient sources suggest? (SELECT ALL THAT APPLY)",
"205","2","3","Which statement best captures the key difference between Kingdom and Republic power structures?",
"206","2","3","What paradox existed in the Comitia Centuriata as an instrument of 'popular participation'?",
"207","2","3","Which interpretation is MOST supported by historical evidence for the Conflict of the Orders?",
"208","2","3","Which aspects represented genuine innovation rather than traditional custom? (SELECT ALL THAT APPLY)",
"209","2","3","Why was written law NECESSARY but INSUFFICIENT to resolve the patrician-plebeian conflict?",
"210","2","3","Which reasons explain why mutual veto was preferable to character-based reliance? (SELECT ALL THAT APPLY)",
"211","2","3","What does the challenge of evaluating early Republic sources reveal about historical methodology?",
"212","2","3","Why did patrician incremental concessions ultimately fail to prevent plebeian success? (SELECT ALL THAT APPLY)",
"213","2","1","Who were the Gauls, and where did they originally come from?",
"214","2","1","In what year did the Gallic army under Brennus invade Rome?",
"215","2","1","What was the name of the river where Roman forces were defeated by the Gauls?",
"216","2","1","How did Gallic warriors fight, and why were they so dangerous to Romans?",
"217","2","1","Who was the patrician general credited with expelling the Gauls and rebuilding Rome?",
"218","2","1","What was the most direct consequence of the Gallic invasion on Roman military organization?",
"219","2","1","How did the Gallic invasion affect the Conflict of the Orders between patricians and plebeians?",
"220","2","1","What specific advantage did Gallic peoples possess that made conquest possible for them?",
"221","2","1","What was Cisalpine Gaul?",
"222","2","1","According to the sources, how long did the Gallic occupation of Rome last?",
"223","3","1","Who were the Gauls, and where did they originally come from?",
"224","3","1","In what year did the Gallic army under Brennus invade Rome?",
"225","3","1","What was the name of the river where Roman forces were defeated by the Gauls?",
"226","3","1","How did Gallic warriors fight, and why were they so dangerous to Romans?",
"227","3","1","Who was the patrician general credited with expelling the Gauls and rebuilding Rome?",
"228","3","1","What was the most direct consequence of the Gallic invasion on Roman military organization?",
"229","3","1","How did the Gallic invasion affect the Conflict of the Orders between patricians and plebeians?",
"230","3","1","What specific advantage did Gallic peoples possess that made conquest possible for them?",
"231","3","1","What was Cisalpine Gaul?",
"232","3","1","According to the sources, how long did the Gallic occupation of Rome last?",
"233","3","1","Who were the two plebeian tribunes credited with proposing comprehensive reforms?",
"234","3","1","What was a 'rogatio' in Roman political terminology?",
"235","3","1","What was the cornerstone of the Licinian reform proposals?",
"236","3","1","In what year were the Licinian Laws finally passed and accepted by the patricians?",
"237","3","1","Who was the first plebeian to be elected as consul after the Licinian Laws were passed?",
"238","3","1","What did the Licinian Laws attempt to address regarding debt slavery?",
"239","3","1","How did the Licinian Laws address the issue of public land distribution?",
"240","3","1","What did the Licinian Laws require regarding holding the same magistracy?",
"241","3","1","The Licinian proposals included access to which emergency office previously held only by patricians?",
"242","3","1","How many decades did plebeians wait for the Licinian Laws to finally be passed?",
"243","3","1","After the Gallic invasion was repelled, what did plebeians do immediately?",
"244","3","1","What major plebeian demand involved access to religious authority in Rome?",
"245","3","1","Which office symbolically represented plebeian equality more than any other?",
"246","3","1","What specific magistracies did plebeians demand access to?",
"247","3","1","What did patricians claim about their natural right to hold high office?",
"248","3","1","What Latin phrase did patricians invoke to defend their exclusive privileges?",
"249","3","1","What was the political situation in Rome for decades after the Gallic invasion?",
"250","3","1","Why were patricians willing to make small concessions to plebeian demands rather than accept large reforms?",
"251","3","1","What was the plebeian response to patrician claims about ancestry and religious knowledge?",
"252","3","1","What power did plebeians threaten repeatedly during this period of negotiation?",
"253","3","2","What were the primary driving factors behind Celtic westward expansion across Europe? (SELECT ALL THAT APPLY)",
"254","3","2","Why did Celtic tribes and Gallic peoples find wealthy Mediterranean societies attractive targets?",
"255","3","2","The Gallic invasion had which effects on Roman military and social structures? (SELECT ALL THAT APPLY)",
"256","3","2","Why might some historians argue the Gallic invasion actually delayed plebeian progress?",
"257","3","2","What institutional quality does Rome's recovery from the Gallic invasion best demonstrate?",
"258","3","2","Which of the following could explain why Brennus and his Gallic army invaded Rome in 390 BCE? (SELECT ALL THAT APPLY)",
"259","3","2","How did the collapse at the Battle of the Allia compare to previous Roman military experiences? (SELECT ALL THAT APPLY)",
"260","3","2","What does the Gallic invasion of Rome reveal about Mediterranean power dynamics in the 4th century BCE? (SELECT ALL THAT APPLY)",
"261","3","2","How did the patrician response to military disaster affect their political authority among plebeians?",
"262","3","2","What historical uncertainty surrounds the recovery phase of the Gallic invasion? (SELECT ALL THAT APPLY)",
"263","3","2","Why were the Licinian proposals considered 'radical' and comprehensive rather than minor adjustments? (SELECT ALL THAT APPLY)",
"264","3","2","What specific benefits would plebeian access to priesthoods provide beyond religious authority?",
"265","3","2","How would the proposal for one plebeian consul change the power structure in Rome? (SELECT ALL THAT APPLY)",
"266","3","2","Why was access to the dictatorship important in the Licinian proposals? (SELECT ALL THAT APPLY)",
"267","3","2","What specific economic grievance did the debt relief proposal address?",
"268","3","2","Why did patricians resist the Licinian proposals with such fierce determination? (SELECT ALL THAT APPLY)",
"269","3","2","What strategy did patrician tribunes use to prevent the Licinian reforms from passing?",
"270","3","2","What does the decade-long deadlock over the Licinian proposals reveal about power distribution in Rome?",
"271","3","2","What possible explanations exist for why patricians finally capitulated in 367 BCE? (SELECT ALL THAT APPLY)",
"272","3","2","How did the land distribution proposal address a centuries-old plebeian grievance? (SELECT ALL THAT APPLY)",
"273","3","3","What did the Licinian Laws fundamentally change about Roman political structure? (SELECT ALL THAT APPLY)",
"274","3","3","Which aspects of Roman society were NOT fundamentally changed by the Licinian Laws? (SELECT ALL THAT APPLY)",
"275","3","3","Why is it misleading to characterize the Licinian Laws as the 'end' of the Conflict of the Orders? (SELECT ALL THAT APPLY)",
"276","3","3","What does the achievement of plebeian access to the consulship reveal about patrician arguments for exclusion? (SELECT ALL THAT APPLY)",
"277","3","3","How do modern historians evaluate the reliability of sources describing the Gallic invasion and Camillus? (SELECT ALL THAT APPLY)",
"278","3","3","What does the fact that poor plebeians gained little from plebeian access to the consulship reveal about the Licinian Laws? (SELECT ALL THAT APPLY)",
"279","3","3","How did the resolution of the Conflict of the Orders affect Rome's capacity for external expansion? (SELECT ALL THAT APPLY)",
"280","3","3","What is the historical significance of transforming class conflict into factional competition? (SELECT ALL THAT APPLY)",
"281","3","3","How did the plebeian victory on the consulship differ fundamentally from earlier concessions like the Twelve Tables? (SELECT ALL THAT APPLY)",
"282","3","3","What historical methodology problem exists in evaluating why patricians finally accepted the Licinian Laws in 367 BCE? (SELECT ALL THAT APPLY)",
"283","4","1","What major internal Roman conflict was finally resolved by the Licinian Laws of 367 BCE, allowing Rome to focus outward?",
"284","4","1","How long did the Samnite Wars span, and how many major conflicts occurred during this period?",
"285","4","1","Why did Rome find the Samnites a more difficult challenge than the Etruscans, whom Rome had previously defeated?",
"286","4","1","Where were the Samnites primarily located in Italy?",
"287","4","1","Why was Samnite mountainous territory a military advantage against Rome?",
"288","4","1","What was the primary difference between Etruscan and Samnite military strength in the 4th century BCE?",
"289","4","1","What was one key aspect of Samnite military culture?",
"290","4","1","What wealthy region lay between Samnite territory and Rome, making it a source of conflict?",
"291","4","1","How were Samnite city-states organized compared to Etruscan city-states?",
"292","4","1","What immediately triggered Rome's decision to go to war with Samnium in 343 BCE?",
"293","4","1","Who were the two Roman consuls appointed to lead armies against Samnium in 343 BCE?",
"294","4","1","What was Rome's military strategy in the First Samnite War?",
"295","4","1","What key organizational difference gave Roman armies advantage in open-field battles?",
"296","4","1","How long did the First Samnite War last before a peace agreement was reached?",
"297","4","1","What remained unclear about the peace terms ending the First Samnite War?",
"298","4","1","Which of the following was NOT demonstrated by Rome's initial success in the First Samnite War?",
"299","4","1","Why did Roman commanders believe the First Samnite War demonstrated that Rome could easily conquer Samnium?",
"300","4","1","What institutional advantage did Rome have over Samnium in sustaining military campaigns?",
"301","4","1","Which statement best reflects the conclusion of the First Samnite War?",
"302","4","1","What did the First Samnite War reveal about the future relationship between Rome and Samnium?",
"303","4","2","Approximately how long did the Second Samnite War last, and how did it differ from the first war?",
"304","4","2","What was the primary source of historical documentation for the Second Samnite War?",
"305","4","2","What critical error did the Roman consuls Titus Veturius Calvinus and Spurius Postumius Albinus make in 321 BCE?",
"306","4","2","Who was the Samnite commander who set the trap at the Caudine Forks, and what was his strategic insight?",
"307","4","2","What ritual humiliation did the Samnites impose on Roman forces at the Caudine Forks?",
"308","4","2","Why was the ritual humiliation of the Caudine Forks particularly damaging to Rome beyond the military defeat?",
"309","4","2","How did Rome respond to the humiliating peace terms imposed at the Caudine Forks?",
"310","4","2","What legal argument did Rome use to justify repudiating the peace agreement after the Caudine Forks?",
"311","4","2","What characteristic of Roman culture did the decision to continue fighting after the Caudine Forks defeat demonstrate?",
"312","4","2","What was the immediate military consequence of Rome's decision to repudiate the peace agreement?",
"313","4","2","What pattern of military results emerged during the 20-year grinding period of the Second Samnite War (321-304 BCE)?",
"314","4","2","How did Roman military commanders adapt after the catastrophic lesson of the Caudine Forks disaster?",
"315","4","2","Which of the following contributed to Rome's eventual victory in the extended 20-year grinding conflict? (SELECT ALL THAT APPLY)",
"316","4","2","How did prolonged warfare affect both Rome and Samnium differently by the 310s BCE?",
"317","4","2","What shift occurred in the balance of power by the early 300s BCE during the Second Samnite War?",
"318","4","2","What strategic decision did Samnium make as it recognized the futility of fighting Rome alone?",
"319","4","2","Which peoples and groups joined the coalition that Samnium organized to challenge Rome's dominance? (SELECT ALL THAT APPLY)",
"320","4","2","What strategic military advantage did the coalition hope to achieve by successfully combining their forces?",
"321","4","2","What fundamental weaknesses undermined the coalition despite its considerable numerical strength and military resources?",
"322","4","2","How did Rome use its central geographic position to counter the coalition's threatening multi-directional military assault?",
"323","4","3","By what year did both Rome and the coalition recognize that a decisive battle was absolutely necessary to resolve the prolonged conflict?",
"324","4","3","Who were the Roman consuls appointed to lead Rome's forces at the decisive Battle of Sentinum in 295 BCE?",
"325","4","3","What made the Battle of Sentinum strategically significant despite the considerable uncertainty of historical sources about battle details?",
"326","4","3","According to Roman historical sources, what were the approximate force sizes of both sides at Sentinum? (SELECT ALL THAT APPLY)",
"327","4","3","How did Roman tactical organization and command structure prove decisive during the Battle of Sentinum, according to historical sources?",
"328","4","3","What happened to the coalition after their military defeat at Sentinum, and why was this outcome strategically important? (SELECT ALL THAT APPLY)",
"329","4","3","Who emerged as Rome's greatest military hero during the final campaigns of the Third Samnite War, and what characterized his reputation?",
"330","4","3","What important military innovations and organizational improvements did Romans develop during the Samnite Wars? (SELECT ALL THAT APPLY)",
"331","4","3","How did the Samnite Wars conclusively demonstrate the fundamental limits of coalition warfare against a centrally organized opponent like Rome?",
"332","4","3","What dramatic transformation in Roman power and strategic position resulted from the successful military conclusion of the Samnite Wars by 290 BCE?",
"333","5","1","What was Rome's military and political situation immediately after the Samnite Wars ended in 290 BCE?",
"334","5","1","Which Greek city in southern Italy was the largest and most powerful, controlling major naval and commercial power?",
"335","5","1","What regions of Italy remained partially independent or outside direct Roman control after the Samnite Wars?",
"336","5","1","Who was King Pyrrhus and from which kingdom did he rule?",
"337","5","1","What military experience and background did Pyrrhus have before his invasion of Italy?",
"338","5","1","Why did Tarentum appeal to King Pyrrhus for military assistance against Rome?",
"339","5","1","What motivated Pyrrhus to accept Tarentum's invitation to invade Italy?",
"340","5","1","What military forces did Pyrrhus bring with him when he invaded Italy in 280 BCE?",
"341","5","1","Why were war elephants considered the most advanced military technology of Pyrrhus's era?",
"342","5","1","What was Pyrrhus's strategic vision for Italy when he arrived to support Tarentum?",
"343","5","1","What was Manius Curius Dentatus's role in the final conquest of southern Italy?",
"344","5","1","How did Roman military campaigns differ when fighting Lucanians and Bruttians compared to the Samnites?",
"345","5","1","Why did Lucanian and Bruttian peoples offer limited resistance to Roman military expansion? (SELECT ALL THAT APPLY)",
"346","5","1","What qualities characterized Pyrrhus's invasion army from Epirus?",
